name,price,change,change%,high,low
富蘭克林華美策略高股息基金-分配型(台幣)(本基金之配息來源可能為本金),0.23,20.47,9.67,40.75,0.08
富蘭克林華美策略高股息基金-分配型(美元)(本基金之配息來源可能為本金),0.21,10.07,7.04,17.15,0.03
宏利全球動力股票基金(台幣),0.20,56.57,6.91,29.32,0.05
安聯全球人口趨勢基金,0.20,45.61,7.66,36.25,0.06
元大全球公用能源效率基金-不配息,0.20,22.08,4.86,19.24,0.03
第一金全球機器人與自動化產業基金(美元),0.18,30.83,7.63,19.35,0.03
中國信託全球股票入息基金-分配型(本基金之配息來源可能為本金),0.17,38.52,6.61,10.95,0.02
兆豐國際生命科學基金,0.17,28.40,3.54,52.57,0.08
野村全球高股息基金-季配型(台幣)(本基金之配息來源可能為本金),0.16,20.07,9.87,13.46,0.02
元大全球公用能源效率基金-配息(本基金之配息來源可能為本金),0.16,10.95,9.23,21.30,0.03
富蘭克林華美策略高股息基金-累積型(台幣)(本基金之配息來源可能為本金),0.15,61.86,8.11,37.56,0.05
富蘭克林華美策略高股息基金-累積型(美元)(本基金之配息來源可能為本金),0.15,13.92,5.10,64.93,0.08
第一金全球機器人與自動化產業基金(台幣),0.15,31.62,6.31,34.66,0.04
華南永昌全球神農水資源基金,0.14,37.56,9.54,36.02,0.04
未來資產全球大消費基金,0.13,68.10,7.42,10.05,0.01
野村全球高股息基金-累積型(台幣)(本基金之配息來源可能為本金),0.12,37.24,8.32,10.38,0.01
兆豐國際全球高股息基金,0.12,48.50,9.54,23.99,0.02
凱基銀髮商機基金(人民幣),0.11,10.09,9.60,12.36,0.01
野村全球高股息基金-累積型(人民幣)(本基金之配息來源可能為本金),0.10,10.38,4.65,13.41,0.01
保德信全球醫療生化基金(美元),0.10,24.61,3.00,60.99,0.04
安聯全球綠能趨勢基金,0.08,19.57,4.26,15.63,0.01
第一金全球水電瓦斯及基礎建設收益基金A不配息(台幣),0.08,16.12,8.67,22.01,0.01
第一金全球水電瓦斯及基礎建設收益基金N不配息(台幣),0.07,63.09,4.78,24.06,0.01
第一金全球水電瓦斯及基礎建設收益基金N配息(台幣)(本基金之配息來源可能為本金),0.07,16.45,9.82,30.56,0.01
第一金全球水電瓦斯及基礎建設收益基金B配息(台幣)(本基金之配息來源可能為本金),0.06,37.48,4.05,11.53,0.00
柏瑞特別股息收益基金N月配息(台幣)(本基金配息來源可能為本金),0.05,26.39,4.19,50.14,0.00
柏瑞特別股息收益基金N月配息(人民幣)(本基金配息來源可能為本金),0.04,31.79,3.59,24.11,0.00
國泰全球高股息基金(人民幣),0.03,13.84,7.39,21.02,22.34
中國信託智能運動基金(台幣),0.00,53.24,3.81,7.80,20.14
中國信託智能運動基金(美元),0.00,24.22,19.93,18.48,4.56
柏瑞特別股息收益基金N9不配息(台幣),0.00,18.68,16.58,15.51,16.25
柏瑞特別股息收益基金N9不配息(美元),8.18,8.95,5.01,8.27,9.83
柏瑞特別股息收益基金N9不配息(人民幣),21.67,24.51,42.46,15.55,9.84
柏瑞特別股息收益基金A不配息(人民幣),12.22,40.40,14.66,20.66,21.32
新光全球生技醫療基金(台幣),7.74,3.30,8.63,3.58,114.36
野村全球高股息基金-季配型(人民幣)(本基金之配息來源可能為本金),12.23,63.35,25.72,23.73,3.48
瀚亞全球策略收益股票基金A不配息(美元)(本基金配息來源可能為本金),61.13,24.34,22.93,53.92,57.27
國泰全球環保趨勢基金(美元),4.75,10.00,4.34,5.49,86.88
第一金全球水電瓦斯及基礎建設收益基金B配息(美元)(本基金之配息來源可能為本金),121.44,25.15,29.66,30.39,6.83
第一金全球水電瓦斯及基礎建設收益基金N配息(美元)(本基金之配息來源可能為本金),24.04,27.95,28.89,30.39,31.86
第一金全球水電瓦斯及基礎建設收益基金N不配息(美元),9.60,7.88,6.19,8.68,33.01
第一金全球水電瓦斯及基礎建設收益基金A不配息(美元),93.42,26.93,71.27,N/A,N/A
國泰全球高股息基金(美元),24.88,44.36,N/A,N/A,N/A
保德信全球醫療生化基金(台幣),4.61,5.72,N/A,85.6100,29.2400
國泰全球資源基金(美元),35.36,N/A,0.74,39.6400,22.4900
復華全球消費基金(台幣),N/A,N/A,0.69,20.4800,19.6100
凱基銀髮商機基金(美元),N/A,0.6000,0.65,22.3200,19.4200
聯邦全球高息策略基金-B月配息(美元)(本基金之配息來源可能為本金),81.4700,0.2600,0.62,39.0900,11.8100
聯邦全球高息策略基金-A不配息(美元)(本基金之配息來源可能為本金),37.7900,0.1300,0.60,17.4700,6.4600
聯邦全球高息策略基金-B月配息(台幣)(本基金之配息來源可能為本金),20.1800,0.1300,0.49,24.9620,7.0180
